step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,791,The,0.446045,1.0,0.722857,0.0,0.8,0.95
2,98074,The Whisper,1.054688,0.333984,0.11512,-0.607737,0.8,0.95
3,287,The Whispering,0.030731,0.719727,0.705984,0.590864,0.8,0.95
4,13120,The Whispering Night,1.420898,0.582031,0.068183,-0.637801,0.8,0.95
5,17772,The Whispering Night Festival,0.543457,0.557617,0.369327,0.301145,0.8,0.95
6,574,The Whispering Night Festival was,0.884766,0.357178,0.160824,-0.208503,0.8,0.95
7,264,The Whispering Night Festival was a,0.217285,0.506348,0.437987,0.277163,0.8,0.95
8,69532,The Whispering Night Festival was a mystical,1.34082,0.625977,0.104476,-0.333511,0.8,0.95
9,1567,The Whispering Night Festival was a mystical event,1.188477,0.394043,0.103065,-0.001411,0.8,0.95
10,430,The Whispering Night Festival was a mystical event that,0.155762,0.553223,0.499682,0.396617,0.8,0.95
11,3952,The Whispering Night Festival was a mystical event that took,0.350586,0.427979,0.334751,-0.16493,0.8,0.95
12,2035,The Whispering Night Festival was a mystical event that took place,0.000486,0.357666,0.357558,0.022807,0.8,0.95
13,1475,The Whispering Night Festival was a mystical event that took place every,1.362305,0.392822,0.060319,-0.297239,0.8,0.95
14,1060,The Whispering Night Festival was a mystical event that took place every year,0.402832,0.417725,0.313171,0.252852,0.8,0.95
15,389,The Whispering Night Festival was a mystical event that took place every year on,0.856445,0.404053,0.18904,-0.12413,0.8,0.95
16,279,The Whispering Night Festival was a mystical event that took place every year on the,0.258545,0.614746,0.515991,0.326951,0.8,0.95
17,7474,The Whispering Night Festival was a mystical event that took place every year on the summer,0.552734,0.66748,0.438246,-0.077746,0.8,0.95
18,2092,The Whispering Night Festival was a mystical event that took place every year on the summer sol,0.002153,0.360352,0.359869,-0.078376,0.8,0.95
19,94803,The Whispering Night Festival was a mystical event that took place every year on the summer solstice,5.2e-05,0.274414,0.274405,-0.085464,0.8,0.95
20,11,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice,",0.699707,0.518555,0.293112,0.018707,0.8,0.95
21,994,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when",1.126953,0.378174,0.113371,-0.179741,0.8,0.95
22,279,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the",0.00042,0.644531,0.644363,0.530992,0.8,0.95
23,18266,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon",1.438477,0.283447,0.030109,-0.614254,0.8,0.95
24,574,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was",0.570312,0.549316,0.354663,0.324554,0.8,0.95
25,2539,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full",0.592285,0.482422,0.304887,-0.049776,0.8,0.95
26,323,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and",0.000223,0.517578,0.517507,0.21262,0.8,0.95
27,279,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the",0.029205,0.445312,0.437232,-0.080275,0.8,0.95
28,9958,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars",0.453369,0.267578,0.192203,-0.245029,0.8,0.95
29,97500,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twink",0.661621,0.303711,0.178859,-0.013344,0.8,0.95
30,839,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twinkled",0.000468,0.226685,0.226619,0.04776,0.8,0.95
31,1093,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twinkled like",0.320312,0.438721,0.351406,0.124787,0.8,0.95
32,49151,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twinkled like diamonds",0.00563,0.469727,0.468083,0.116677,0.8,0.95
33,304,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twinkled like diamonds in",0.115234,0.375,0.34815,-0.119933,0.8,0.95
34,279,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twinkled like diamonds in the",1.9e-05,0.532715,0.532709,0.184558,0.8,0.95
35,13180,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twinkled like diamonds in the sky",0.511719,0.322998,0.220301,-0.312407,0.8,0.95
36,13,"The Whispering Night Festival was a mystical event that took place every year on the summer solstice, when the moon was full and the stars twinkled like diamonds in the sky.",5.3e-05,0.264648,0.26464,0.044339,0.8,0.95
